date,middlePB,close,pb_pct
2012-02-09,2.61,2349.59,0.363319791062101
2012-02-10,2.63,2351.98,0.3654292343387471
2012-02-13,2.67,2351.86,0.3710144927536232
2012-02-14,2.68,2344.77,0.37137891077636154
2012-02-15,2.72,2366.7,0.37521713954834973
2012-02-16,2.74,2356.86,0.3773148148148148
2012-02-17,2.72,2357.18,0.3747831116252169
2012-02-20,2.73,2363.6,0.37745664739884394
2012-02-21,2.76,2381.43,0.37954939341421146
2012-02-22,2.83,2403.59,0.3856812933025404
2012-02-23,2.83,2409.55,0.3854587420657819
2012-02-24,2.86,2439.63,0.3886966551326413
2012-02-27,2.86,2447.06,0.38847262247838615
2012-02-28,2.82,2451.86,0.38421658986175117
2012-02-29,2.78,2428.49,0.38111686816350027
2012-03-01,2.8,2426.12,0.38204833141542005
2012-03-02,2.85,2460.69,0.3887291546866015
2012-03-05,2.87,2445.0,0.39252873563218393
2012-03-06,2.83,2410.45,0.3854106835152211
2012-03-07,2.81,2394.79,0.38289322617680827
2012-03-08,2.85,2420.28,0.3889845094664372
2012-03-09,2.9,2439.46,0.3973623853211009
2012-03-12,2.91,2434.86,0.3988538681948424
2012-03-13,2.94,2455.8,0.4043528064146621
2012-03-14,2.81,2391.23,0.38179736691471095
2012-03-15,2.76,2373.77,0.37585812356979403
2012-03-16,2.84,2404.74,0.3876500857632933
2012-03-19,2.9,2410.18,0.3977142857142857
2012-03-20,2.82,2376.84,0.3837806967447173
2012-03-21,2.82,2378.2,0.3835616438356164
2012-03-22,2.81,2375.77,0.38106103822019394
2012-03-23,2.78,2349.54,0.37799315849486886
2012-03-26,2.76,2350.6,0.37435897435897436
2012-03-27,2.76,2347.18,0.37414578587699315
2012-03-28,2.61,2284.88,0.3562891291974957
2012-03-29,2.56,2252.16,0.3492605233219568
2012-03-30,2.55,2262.79,0.34678794769755544
2012-04-05,2.63,2302.24,0.35965909090909093
2012-04-06,2.63,2306.55,0.3594548551959114
2012-04-09,2.61,2285.78,0.3564131668558456
2012-04-10,2.64,2305.86,0.3624503686897334
2012-04-11,2.65,2308.93,0.36507936507936506
2012-04-12,2.71,2350.86,0.371671388101983
2012-04-13,2.73,2359.16,0.37485843714609285
2012-04-16,2.74,2357.03,0.37577815506508205
2012-04-17,2.7,2334.99,0.36934389140271495
2012-04-18,2.74,2380.85,0.3759185980780102
2012-04-19,2.74,2378.63,0.3757062146892655
2012-04-20,2.77,2406.86,0.38283455674760025
2012-04-23,2.71,2388.59,0.3707674943566591
2012-04-24,2.65,2388.83,0.3632261703327693
2012-04-25,2.67,2406.81,0.36583990980834274
2012-04-26,2.66,2404.7,0.3656338028169014
2012-04-27,2.65,2396.32,0.36261261261261263
2012-05-02,2.69,2438.44,0.3691615081598199
2012-05-03,2.71,2440.08,0.37232845894263217
2012-05-04,2.74,2452.01,0.3777403035413153
2012-05-07,2.77,2451.95,0.3853932584269663
2012-05-08,2.77,2448.88,0.38517686692869174
2012-05-09,2.71,2408.59,0.37149270482603813
2012-05-10,2.7,2410.23,0.3690409422321929
2012-05-11,2.71,2394.98,0.3716367713004484
2012-05-14,2.7,2380.73,0.3686274509803922
2012-05-15,2.7,2374.84,0.3684210526315789
2012-05-16,2.67,2346.19,0.3642977056519306
2012-05-17,2.72,2378.89,0.37527964205816555
2012-05-18,2.66,2344.52,0.36333147009502514
2012-05-21,2.66,2348.3,0.36312849162011174
2012-05-22,2.7,2373.31,0.3690675600223339
2012-05-23,2.7,2363.44,0.36886160714285715
2012-05-24,2.68,2350.97,0.36586726157278304
2012-05-25,2.64,2333.55,0.35618729096989965
2012-05-28,2.66,2361.37,0.3626740947075209
2012-05-29,2.71,2389.64,0.3747216035634744
2012-05-30,2.73,2384.67,0.3811908736783528
2012-05-31,2.73,2372.23,0.3809788654060067
2012-06-01,2.71,2373.44,0.37409672040022235
2012-06-04,2.61,2308.55,0.3488888888888889
2012-06-05,2.61,2311.92,0.34869516935036093
2012-06-06,2.6,2309.56,0.34850166481687017
2012-06-07,2.6,2293.13,0.3483083749306711
2012-06-08,2.58,2281.45,0.34534368070953436
2012-06-11,2.64,2305.86,0.35678670360110804
2012-06-12,2.62,2289.79,0.3532668881506091
2012-06-13,2.67,2318.92,0.3663530713890426
2012-06-14,2.66,2295.95,0.3639380530973451
2012-06-15,2.67,2306.85,0.36650082918739635
2012-06-18,2.7,2316.05,0.3723756906077348
2012-06-19,2.68,2300.8,0.36885698509110987
2012-06-20,2.69,2292.88,0.37141280353200884
2012-06-21,2.65,2260.88,0.35962493105350246
2012-06-25,2.56,2224.11,0.3390297684674752
2012-06-26,2.57,2222.07,0.3399449035812672
2012-06-27,2.56,2216.93,0.33865638766519823
2012-06-28,2.52,2195.84,0.3340671436433682
2012-06-29,2.55,2225.43,0.33608360836083606
2012-07-02,2.6,2226.11,0.348543155579989
2012-07-03,2.61,2229.19,0.35
2012-07-04,2.59,2227.32,0.34651290499725423
2012-07-05,2.54,2201.35,0.33479692645444564
2012-07-06,2.58,2223.58,0.34503565551289084
2012-07-09,2.51,2170.81,0.33223684210526316
2012-07-10,2.49,2164.44,0.32986301369863014
2012-07-11,2.5,2175.38,0.3307776560788609
2012-07-12,2.54,2185.49,0.3355227148330597
2012-07-13,2.51,2185.9,0.33260393873085337
2012-07-16,2.4,2147.96,0.3160196828868234
2012-07-17,2.41,2161.19,0.3180327868852459
2012-07-18,2.43,2169.1,0.3205898416166029
2012-07-19,2.46,2184.84,0.3247816593886463
2012-07-20,2.44,2168.64,0.32242225859247137
2012-07-23,2.43,2141.4,0.32006543075245364
2012-07-24,2.45,2146.59,0.3247956403269755
2012-07-25,2.44,2136.15,0.3224400871459695
2012-07-26,2.42,2126.0,0.3189983669025585
2012-07-27,2.41,2128.77,0.31664853101196955
2012-07-30,2.37,2109.91,0.31049483414899404
2012-07-31,2.29,2103.63,0.2902173913043478
2012-08-01,2.33,2123.36,0.3025529603476372
2012-08-02,2.32,2111.18,0.2985884907709012
2012-08-03,2.38,2132.8,0.3130765056972328
2012-08-06,2.43,2154.92,0.32212581344902386
2012-08-07,2.44,2157.62,0.3252032520325203
2012-08-08,2.44,2160.99,0.3250270855904659
2012-08-09,2.47,2174.1,0.331348132106118
2012-08-10,2.47,2168.81,0.33116883116883117
2012-08-13,2.41,2136.08,0.3174689021092482
2012-08-14,2.44,2142.53,0.3248648648648649
